Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,SantoAntão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamentu,Palenquero,CaviteChabacano,TernateChabacano,ZamboangaChabacano,Karipuna,Guianese,Louisiana,Haitian,Guadeloupean,Martinican,SaintLucian,Mauritian,Réunionese,Seychellois
all,"67,39%","67,37%","67,00%","100,00%","91,05%","100,00%","100,00%","100,00%","100,00%","66,77%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","48,57%","71,25%","93,57%","93,05%","93,35%","58,86%","58,85%","100,00%","100,00%","59,70%","60,63%","61,68%","100,00%","100,00%","100,00%"
and,"15,97%","16,10%","15,95%","2,97%","48,25%","83,61%","82,92%",,"84,28%","100,00%","100,00%","84,19%","85,11%","100,00%",,"100,00%","36,27%","68,86%","99,33%","100,00%","100,00%","100,00%","100,00%","100,00%","12,53%","12,31%","100,00%","99,38%","38,71%","38,46%","99,66%","36,55%",,"97,07%"
animal,"95,39%","95,90%","95,92%","79,94%","96,70%","96,59%","98,86%","100,00%","100,00%","69,86%","99,66%","83,12%","83,07%","96,05%","76,38%","74,78%","93,61%","74,18%","58,81%","99,94%","80,98%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","98,87%","99,98%","93,67%","67,47%","70,05%",,"67,45%"
ashes,"56,92%","66,41%","69,14%","54,11%","72,39%","70,75%",,"67,28%","96,13%","68,52%","100,00%","94,64%","95,02%","84,87%","92,05%","80,62%","78,40%","89,10%","90,26%","88,82%","95,69%","96,55%","96,18%","96,52%","61,74%","61,17%","73,40%","37,06%","62,34%","62,25%","61,77%","67,87%","33,24%","57,49%"
at,"91,74%","91,57%","55,07%","49,79%",,"90,62%","91,97%",,"100,00%","100,00%","100,00%","100,00%","99,58%","77,33%","89,33%","87,30%","77,64%",,,"92,33%","100,00%",,,,"100,00%","100,00%","100,00%","100,00%","100,00%","84,38%","98,63%","100,00%",,"67,17%"
back,"40,15%","39,24%","40,25%","72,86%","77,72%","75,50%","76,01%","75,74%","79,57%","78,45%","79,86%","78,06%","77,30%","57,63%","92,71%","48,14%","17,64%","74,08%","75,70%","67,76%","100,00%","97,03%","100,00%","100,00%","96,48%","100,00%","62,25%","93,26%","96,89%","97,01%","98,14%","93,98%",,"92,13%"
bad,"97,04%","97,36%","81,32%","55,77%","71,36%","80,95%","99,27%","80,84%","83,28%","100,00%","100,00%","100,00%","98,90%","63,65%","99,05%","100,00%",,"99,34%","58,83%","99,96%","100,00%","100,00%","100,00%","66,58%","100,00%","100,00%","94,74%","94,62%","95,00%","95,31%","95,46%","98,17%",,"98,61%"
bark,"39,14%","53,02%","45,48%",,"87,07%","96,26%",,"90,40%","99,18%","100,00%","59,59%","91,66%","83,26%","72,48%","55,92%",,"93,14%","100,00%",,"99,93%",,,,,"100,00%","100,00%","96,64%","87,75%","99,69%","99,82%","99,66%","67,93%","100,00%","72,13%"
because,,"97,47%","90,43%",,,"89,11%","73,64%",,"82,47%","56,19%","91,49%","82,14%","78,89%","68,08%","71,87%","74,11%",,,,"100,00%","76,56%","85,06%",,,"61,48%","83,76%","88,57%","84,71%",,"42,83%","42,43%","99,92%","43,66%","98,61%"
belly,"69,59%","74,30%","74,30%","68,90%","87,80%","93,68%","93,77%","90,59%","97,98%","74,24%","93,78%","97,96%","94,62%","55,18%","52,31%","47,35%","56,01%","91,37%","93,34%","93,09%","92,84%","100,00%","87,26%","87,26%","62,36%","69,47%","69,03%","68,54%","98,45%","98,50%","99,10%","68,97%","68,51%","70,55%"
big,"51,55%","52,04%","50,86%","54,68%","70,69%","70,14%","69,51%","70,85%","100,00%","55,11%","64,79%","96,00%","96,00%","73,73%","35,80%","70,22%","24,41%","31,43%","31,66%","99,97%","69,90%","100,00%","100,00%","100,00%","85,07%","78,54%","82,61%","76,11%","76,45%","76,46%","67,97%","76,31%","100,00%","76,78%"
bird,"42,54%","72,49%","80,75%","65,49%","64,99%","64,06%","69,69%","67,66%","60,99%","34,03%","32,92%","62,15%","62,08%","94,90%","62,76%","62,49%",,"70,40%","59,26%","48,19%","92,10%","88,89%","89,34%","89,34%","47,97%","47,46%","57,36%","53,78%","55,51%","55,26%","68,09%","48,15%","56,10%","48,83%"
bite,"79,09%","79,41%","79,13%","77,00%","78,46%","57,73%",,"78,46%","78,48%","80,69%","80,78%","80,49%","80,71%","62,84%","54,54%","63,24%","63,06%","78,70%","76,61%","80,20%","100,00%","63,26%","77,14%","67,40%","57,13%","52,78%","64,03%","56,84%","60,26%","54,26%","57,11%","43,10%","42,42%","52,23%"
black,"69,30%","68,82%","69,43%","72,64%","91,90%","97,98%","99,96%","98,27%","96,07%","69,36%","69,63%","100,00%","100,00%","90,23%","60,36%","62,01%","62,31%","96,52%","97,58%","100,00%","100,00%","100,00%","100,00%","100,00%","61,96%","62,15%","82,56%","62,62%","62,41%","62,12%","61,69%","84,54%","57,73%","56,86%"
blood,"49,98%","50,28%","52,16%","54,51%","69,69%","70,01%","52,84%","70,21%","98,60%","57,98%","64,85%","94,08%","94,01%","95,90%","98,09%","94,88%","91,97%","50,27%",,"58,30%",,"100,00%","100,00%","100,00%","87,51%","91,14%","88,12%","88,20%","88,17%","88,09%","88,08%","92,22%","88,19%","87,10%"
blow,"76,52%","76,62%","77,47%","71,27%","77,14%","74,59%","78,11%","78,12%","68,17%","74,05%","74,49%","69,19%","68,57%","71,42%",,"66,72%","64,80%","77,69%","76,76%","74,30%","67,58%",,"75,27%","75,84%","100,00%","100,00%","100,00%","99,84%","99,39%","99,64%","99,76%","99,25%",,"99,23%"
bone,"59,34%","59,03%","59,15%","69,64%","89,16%","100,00%",,"99,72%","100,00%","59,61%","59,07%","100,00%","100,00%","85,24%","88,57%","94,33%","85,76%","49,88%","48,28%","100,00%","96,97%","100,00%","100,00%","100,00%","22,82%",,"73,27%","23,96%","24,87%","24,77%","23,38%","73,72%","20,25%","73,17%"
breast,"45,47%","53,23%","53,48%","78,42%","71,59%","78,34%",,"90,14%","93,80%",,,"94,65%",,"77,73%",,,,"75,39%","74,34%","100,00%","100,00%","100,00%","100,00%","100,00%","68,21%","76,61%","94,20%",,"61,30%","61,97%","62,04%","66,18%","62,02%","63,02%"
breathe,,"45,21%",,,,"87,05%",,,"72,76%",,,,,,,,,"81,35%",,"83,86%",,"64,75%","78,01%",,,,"85,44%","99,84%","81,61%","82,23%","86,49%","85,66%",,"83,38%"
burn,"60,52%","60,19%","59,92%","57,87%","60,23%","63,89%","60,04%","61,08%","60,05%",,"63,56%","60,04%","59,30%","61,53%","58,85%","61,55%","61,27%","57,63%",,"60,24%","78,51%","75,10%","78,39%","75,44%","76,05%","76,97%","84,73%","75,76%","91,76%","92,39%","92,65%","91,82%","98,71%","91,68%"
child,"47,60%","47,70%","65,99%","40,75%","40,53%","63,94%","61,24%","94,47%","100,00%","61,62%","61,72%","100,00%","100,00%","95,41%","65,42%","95,04%","92,12%","96,63%","51,51%","59,88%",,"95,62%","66,22%",,"54,19%","91,38%","91,25%","55,98%","62,95%","59,79%","78,10%","51,18%","49,41%","85,81%"
cloud,,"61,54%","60,75%","68,40%",,"90,92%",,"94,10%","92,32%","80,49%","100,00%","89,32%","95,12%","86,62%","87,58%","87,65%",,"98,41%","93,48%","90,56%","97,03%","96,94%",,,"98,37%","41,39%","75,68%","98,38%","40,90%","41,79%","96,27%","96,71%","96,73%","96,69%"
cold,"96,07%","61,55%","61,90%","43,81%","98,67%","97,93%","98,40%","99,23%","100,00%","62,63%","100,00%","100,00%","98,90%","31,89%","49,30%","34,01%","35,67%","99,34%","99,77%","100,00%","45,85%","59,18%","58,72%","97,36%","90,84%","46,48%","70,97%","53,25%","49,11%","49,34%","53,45%","40,23%","84,02%","38,94%"
come,"56,36%","56,69%","56,54%","66,15%","56,57%","49,36%","54,38%","58,69%","92,19%","49,82%","39,57%","90,21%","90,14%","58,48%","57,76%","77,24%","58,38%","48,39%","49,26%","74,64%","68,40%","78,31%","74,16%","66,87%","42,15%","73,02%","72,32%","45,44%","73,07%","72,91%","73,05%","70,63%","36,29%","71,85%"
correct,"37,22%","26,90%","27,12%","41,40%",,"98,22%","99,22%","44,64%","97,84%","26,34%","42,53%","42,92%","42,26%","77,68%",,,,"98,28%",,"95,33%",,"92,40%",,"92,43%","91,98%","96,03%","69,19%","84,62%","68,37%","65,84%","69,71%","85,04%",,"68,88%"
count,"75,41%","70,42%","77,84%","56,60%","66,27%","72,21%","71,13%",,"74,53%","74,36%","78,21%","77,76%","77,97%","78,14%","73,54%","78,13%","75,94%","65,91%","63,03%","81,97%","59,88%","80,30%","81,89%","80,19%","64,41%","98,22%","98,23%","98,07%","99,38%","99,64%","99,75%","97,48%",,"99,26%"
cut,"80,59%","80,58%","80,70%","77,65%","78,28%","78,40%","80,99%","72,75%","78,08%","77,31%","77,92%","80,50%","80,68%","62,52%","63,41%","62,16%","62,52%","75,57%","78,72%","77,25%","67,68%","70,25%","81,17%","71,73%","100,00%","100,00%","100,00%","99,85%","99,38%","99,64%","99,75%","99,27%",,"99,28%"
day,"89,41%","90,11%","90,68%","22,31%","31,61%","95,74%","68,70%","95,91%","100,00%","100,00%","100,00%","95,90%","95,93%","70,48%","67,32%","68,37%","68,06%","100,00%","30,59%","100,00%","60,58%","100,00%","34,07%","100,00%","63,69%","63,33%","82,86%","63,89%","80,09%","79,97%","63,86%","82,59%","66,70%","74,37%"
die,"68,91%","74,85%","73,91%","70,20%","67,33%","78,46%","72,91%","71,10%","70,09%","15,36%","74,66%","75,73%","75,69%","69,65%","69,24%","19,04%","19,18%","68,73%","78,03%","72,74%","76,26%","75,27%","74,82%","74,21%","61,39%","70,20%","67,17%","67,69%","61,89%","61,22%","62,90%","82,50%","65,96%","64,35%"
dig,"71,14%","71,18%","76,23%","45,46%","45,01%",,,"42,53%","65,32%","77,68%","73,39%","67,33%","67,40%","58,39%",,"73,94%",,"64,66%","67,48%","63,97%","62,06%",,,,"100,00%","100,00%","100,00%","99,85%","99,39%","99,64%","99,76%","99,25%","97,53%","99,26%"
dirty,"65,39%","66,21%","65,39%","93,55%","86,19%","96,74%","97,55%","98,49%","88,06%","53,48%","60,69%","100,00%","100,00%","94,44%","90,80%","95,64%","89,77%","91,01%","92,91%","83,72%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","99,55%","99,98%","48,34%","99,96%"
dog,"90,19%","90,48%","90,66%","94,82%","73,67%","96,85%","95,06%","73,27%","73,06%","71,02%","70,09%","55,61%","67,37%","53,73%","56,86%","54,46%","53,41%","75,53%","72,65%","60,16%","90,35%","100,00%","75,28%","97,14%","84,07%","96,29%","96,23%","84,04%","100,00%","100,00%","100,00%","87,95%",,"89,61%"
drink,"78,11%","78,18%","78,23%","63,82%","77,49%","78,17%","78,12%","74,76%","75,08%","72,39%","73,19%","78,21%","78,12%","78,04%","57,89%","77,86%","78,09%","96,59%","78,04%","78,11%","75,78%","76,19%","75,47%","76,09%","62,59%","62,57%","53,66%","62,65%","63,15%","62,95%","61,43%","75,71%",,"48,32%"
dry,"69,60%","69,50%","69,92%","73,10%","87,21%","99,52%","99,96%","98,28%","96,11%","65,03%","69,78%","95,19%","100,00%","97,90%","99,68%","99,33%","91,62%","96,54%","99,09%","100,00%",,"100,00%","100,00%","100,00%","100,00%","100,00%","100,00%","90,03%","83,89%","83,62%","83,54%","97,63%","100,00%","95,53%"
dull,"65,03%","72,89%",,,"79,26%",,,,"100,00%","68,84%","69,51%","99,46%","100,00%",,,,,,,"62,76%",,"100,00%",,,"53,79%",,"70,25%","99,90%",,,"99,61%","98,98%",,
