Gloss,Korlai,Daman,Diu,Sri Lanka PT,Kannur,Malacca,Macau,Tugu/Batavia,Santiago CV,Santo Antão CV,SãoVicente CV,Fogo CV,Brava CV,Santome,Fá d'Ambô,Principense,Angolar,Guinea Bissau,Casamancese,Papiamento,Palenquero,Cavite Chabacano,Ternate Chabacano,Zamboanga Chabacano,Karipuna,Louisiana,Guianese,Haitian,Mauritian,Guadeloupean,Martinican,Saint Lucian,Réunionese,Seychellois
all,tud,tud,tud,tudu,tudə,tudu,tudu,tudu,tudu,tud,tudu,tudu,tudu,tudu,tudu,tudu,tudu,tudu,tudu,tuɾ,too,todu,todu,todu,tut,tu,tut,tu,tu,tut,tut,tut,tu,tu
and,ani,ku,ku,kum,kum,ku,e,dan,ku,i,i,ku,ku,i,a,i,ki,ɛ,i,i,i,i,i,i,ke,e,ke,e,ek,ɛk,ɛk,avɛk,,e
animal,animal,animal,animal,animaal,animal,animal,bitʃu,animal,bitʃu,bitʃ,ɐnimal,limaɾjɐ,limaɾjɐ,bisu,limaja,nimalɪ,biθu,limaɾia,limariɟa,animal,anima,animal,animal,animal,bɛt,betaj,bɛt,bɛt,zanimo,bɛt,bet,zãnimo,,zãnimo
ashes,sints,sĩz,sĩz,siinza,sinzə,sinza,,sindʒa,sĩsɐ,sĩz,sĩzɐ,sĩza,sĩza,ʃĩdʒa,ʃĩzɐ,ʃize,xĩdʒa,sĩsa,sĩsa,ʃiniʃa,sinisa,sinisa,sinisa,sinisa,san,lasãn,san,sã,lasan,sãn,sãn,sãn,sã,lasã
at,nə,nə,pɛɾtdə,ntu,,na,na,,nɐ,nɐ,nɐ,nɐ,nɐ,ni,ɛ̃,na,ni,,,na,en,na,na,na,la,a,la,a,a,a,pakote,a,,kot
back,kɔs,kɔs,kɔs,kɔɔsta,kɔstə,kosta,kosta,kosta,kɔstɐ,kɔʃtɐ,kɔʃtɐ,kostɐ,kostɐ,tlaʃi,lɔ̃ba,taːʃi,nθusi,kosta,kosta,lomba,lomo,ispalda,tɾas,atɾas,do,lanvɛɾ,do,dɔ,ledo,do,do,do,,ledo
bad,maw,maw,mal,maal,mizəɾal,mal,maw,mal,mɔw,mal,maw,maw,maw,ma,maw,rwĩ,buuku,maw,fedi,malu,malo,malu,malu,mal,mal,move,mal,move,move,move,move,move,,movɛ
bark,albsukas,kas,kask,paaʈa,ælvəɾisəpæli,kaska,,kaski,kaskɐ,kaʃkɐ,ʀom,ɾamu,kaskɐdipo,kaʃika,xɔxa,ukpaka,kaʃka,kaʃkɐ,,kaska,,,,,lapo,lekɔrʃ,lapo,ekɔs,lekoɣs,lapopjebwa,lapopjebwa,lapo,po,lekɔɔs
because,kaɾən,puɾke,pəɾke,kiipasee,swidə,kawzu,pɾamoɾdi,akabida,pɐmɔdi,pke,puɾke,pɐmɔdi,pɐmɔdi,pluke,pɔke,poke,kõtuma,pɐbiɐ,pabiɟa,komo,pokke,puɾkasa,kasi,kaj,pase,paɾske,paske,paskɛ,akoz,padavɣe,pas,pas,pask,akoz
belly,bʰaɾig,baɾig,baɾig,baɾiija,baʀigə,bariga,bariga,baɾiga,bɐɾigɐ,beʀig,beʀigɐ,bɐɾigɐ,baɾigɐ,bɛgɐ,bɛga,bwɛgɐ,bɛgɐ,bariga,bariga,baɾika,baɾika,bariga,bahɾiga,bahɾiga,van,vãnt,vãt,vãt,vãt,budɛ̃,budɛ̃,budɛ̃,vãt,vãt
