Author,Source,Bibtex,Language
Araujo2012,"Araujo, Vanessa Pinheiro de. 2012. Um dicionário principense-português:
Universidade de Sao Paulo. [MA dissertation]. doi:10.11606/d.8.2013.
tde-11062013-101052.","@phdthesis{Araujo2012,
  title = {Um dicionário principense-portugu\^es},
  url = {http://dx.doi.org/10.11606/D.8.2013.tde-11062013-101052},
  DOI = {10.11606/d.8.2013.tde-11062013-101052},
  school = {Universidade de Sao Paulo},
  author = {Araujo,  Vanessa Pinheiro de},
  year= {2012}
}",Principense
AraujoHagemeijer2013,"Araújo, Gabriel Antunes de & Tjerk Hagemeijer. 2013. Dicionário livre santome
- português. Hedra.
","@book{AraujoHagemeijer2013,
  title  = {Dicion{\'a}rio livre santome - portugu{\^e}s},
  author = {de Ara{\'u}jo, Gabriel Antunes and Hagemeijer, Tjerk},
  publisher = {Hedra},
  year   =  {2013}
}",Santome
Baker1982,"Baker, Philip. 1982. The contribution of the non-francophone immigrants to the lexicon of Mauritian Creole: an examination of the peopling of Mauritius, an analysis
of the non-French part of the lexicon of its Creole language, including a comparison of the latter with those of reunion and the Seychelles, and a discussion of the origins and affinities of Mauritian Creole: University of London [PhD dissertation].
","@phdthesis{Baker1982,
  title = {The contribution of the non-francophone immigrants to the lexicon of {M}auritian {C}reole: an examination of the peopling of {M}auritius, an analysis of the non-{F}rench part of the lexicon of its {C}reole language, including a comparison of the latter with those of Reunion and the {S}eychelles, and a discussion of the origins and affinities of {M}auritian {C}reole},
  school = {University of London},
  author = {Baker,  Philip},
  year= {1982}
}","Mauritian, Réunionnese"
Bandeira2017,"Bandeira, Manuele. 2017. Reconstrução fonológica e lexical do protocrioulo
do Golfo da Guiné: Universidade de São Paulo [Ph.D. dissertation]. doi:
10.11606/t.8.2017.tde-05042017-134159. ","@phdthesis{Bandeira2017,
 author  = {Manuele Bandeira},
 title  = {Reconstrução fonológica e lexical do protocrioulo do {Golfo da Guiné}},
 year  = {2017},
 school = {Universidade de São Paulo},
 doi  = {10.11606/t.8.2017.tde-05042017-134159},
 url  = {http://dx.doi.org/10.11606/t.8.2017.tde-05042017-134159},
 type = {{Ph.D.} dissertation}
}","Santome, Fá d'Ambô, Principense, Angolar"
Baptista2014,"Baptista, Maria do Céu dos Santos. 2014. Descrição fonológica da variedade da
ilha de Santo Antão. In Jürgen Lang ed., A variação geográfica do crioulo
caboverdiano, 183–250. Erlangen: FAU University Press.","@incollection{Baptista2014,
title = {Descrição fonológica da variedade da ilha de {S}anto {A}ntão},
booktitle = {A variação geográfica
do crioulo caboverdiano},
author = {Baptista, Maria do Céu dos Santos},
editor = {Lang, Jürgen},
publisher = {FAU University Press},
address = {Erlangen},
pages = {183--250},
isbn = {9789519040721},
year = {2014},
}",Santo Antão CV
Baptista2019,"Baptista, Marlyse. 2019. Variation in creole languages: Insights from a Swadesh list. Journal of Ibero-Romance Creoles 91. 251–277. http://www.acblpe.com/revista/volume-9-2019/
variation-in-creole-languages-insights-from-a-swadesh-list.
","@article{Baptista19,
    author = {Baptista, Marlyse},
    year = {2019},
    pages = {251--277},
    title = {Variation in creole languages: Insights from a {Swadesh} list},
    volume = {9},
    number = {1},
    journal = {Journal of Ibero-Romance Creoles},
    issn = {2184-5360},
    URL = {http://www.acblpe.com/revista/volume-9-2019/variation-in-creole-languages-insights-from-a-swadesh-list}
}","Santiago CV, Santo Antão CV, São Vicente CV, Fogo CV, Brava CV"
Barbotin&Tourenux2000,"Tourneux, Henry & Maurice Barbotin. 2011. Dictionnaire pratique du créole de
guadeloupe Marie-Galante. Editions-Diffusion Karthala.","@book{TourneuxBarbotin2011,
  title     = {Dictionnaire pratique du cr{\'e}ole de Guadeloupe
               ({Marie-Galante})},
  author    = {Tourneux, Henry and Barbotin, Maurice},
  publisher = {Editions-Diffusion Karthala},
  year      =  {2011}
}",Guadeloupean
Barthèlemi2007,"Barthèlemi, Georges. 2007. Dictionnaire créole guyanais-français: suivi d’un index
français-créole guyanais. Ibis Rouge.","@book{Barthelemi2007,
  title     = {Dictionnaire cr{\'e}ole guyanais-fran{\c c}ais: suivi d'un index
               fran{\c c}ais-cr{\'e}ole guyanais},
  author    = {Barthèlemi, Georges},
  publisher = {Ibis Rouge},
  year      =  {2007}
}",Guianese
BaxterSilva2004,"Baxter, Alan N. & Patrick Silva. 2004. A dictionary of Kristang (Malacca Creole
Portuguese) - English. Canberra: Pacific Linguistics.","@book{BaxterSilva2004,
  address   = {Canberra},
  author    = {Baxter, Alan N. and Silva, Patrick},
  booktitle = {A dictionary of {Kristang (Malacca Creole Portuguese) - English}},
  publisher = {Pacific Linguistics},
  title     = {A dictionary of Kristang (Malacca Creole Portuguese) - English},
  year      = {2004}
}",Malacca
Biagui2012,"Biagui, Noël Bernard. 2012. Description générale du créole afro-portugais parlé à
Ziguinchor (Sénégal): Université Cheik Anta Diop [Ph.D. dissertation]. http:
//www.theses.fr/2012INAL0017.","@phdthesis{Biagui2012,
    url = {http://www.theses.fr/2012INAL0017},
    title = {Description générale du créole afro-portugais parlé à {Ziguinchor (Sénégal)}},
    author = {Biagui, Noël Bernard},
    year = {2012},
    school = {Université Cheik Anta Diop},
    type = {{Ph.D.} dissertation}
}",Casamancese
BickertonEscalante1970,"Bickerton, Derek & Aquilas Escalante. 1970. Palenquero: A Spanish-based
creole of Northern Colombia. Lingua 24. 254–267. doi:https://doi.org/10.
1016/0024-3841(70)90080-X. ","@article{BickertonEscalante1970,
title = {Palenquero: A {S}panish-based creole of {N}orthern {C}olombia},
journal = {Lingua},
volume = {24},
pages = {254-267},
year = {1970},
issn = {0024-3841},
doi = {https://doi.org/10.1016/0024-3841(70)90080-X},
url = {https://www.sciencedirect.com/science/article/pii/002438417090080X},
author = {Bickerton, Derek and Escalante, Aquilas}
}",Palenquero
Callaway1820,"Callaway, John. 1820. A vocabulary, in the Ceylon Portuguese, and English languages. with a series of familiar phrases. Colombo: Wesleyan Mission Press.","@book{Callaway1820,
  title     = {A vocabulary, in the {C}eylon {P}ortuguese, and {E}nglish languages. With a series of familiar phrases},
  author    = {Callaway, John},
  publisher = {Wesleyan Mission Press},
  address = {Colombo},
  year      =  {1820}
}",Sri Lanka PT
Camins1999,"Camins, Bernardino S. 1999. Chabacano de Zamboanga handbook and Chabacano-English-Spanish dictionary. Zamboanga City: First United Broadcasting Corp.","@book{Camins1999,
  title     = {Chabacano de {Z}amboanga Handbook and {C}habacano-{E}nglish-{S}panish Dictionary},
  author    = {Camins, Bernardino S},
  publisher = {First United Broadcasting Corp},
  address = {Zamboanga City},
  year      =  {1999}
}",Zamboanga CH
