Gloss,Class (Bowern 2007),Portuguese,Spanish,French,Korlai,Source Korlai,Daman,Source Daman,Diu,Source Diu,Sri Lanka PT,Source Sri Lanka PT,Kannur,Source Kannur,Malacca,Source Malacca,Macao,Source Macau,Tugu/Batavia,Source Tugu/Batavia,Santiago CV,Source Santiago CV,Santo Antão CV,Source Santo Antão CV,São Vicente CV,Source São Vicente CV,Fogo CV,Source Fogo CV,Brava CV,Source Brava CV,Santome,Source Santome CV,Fá d'Ambô,Source Fá d'Ambô,Principense,Source Principense,Angolar,Source Angolar,Guinea Bissau,Source Guinea Bissau,Casamancese,Source Casamancese,Papiamento,Source Papiamento,Palenquero,Source Palenquero,Cavite Chabacano,Source Cavite Chabacano,Ternate Chabacano,Source Ternate Chabacano,Zamboanga Chabacano,Source Zamboanga Chabacano,Karipuna,Source Karipuna,Guianese,Source Guianese,Louisiana,Source Louisiana,Haitian,Source Haitian,Guadeloupean,Source Guadeloupean,Martinican,Source Martinican,Saint Lucian,Source Saint Lucian,Mauritian,Source Mauritian,Réunionese,Source Réunionese,Seychellois,Source Seychellois
all,quant,todo,todo,tout,tud,Clements2012,tud,Clements2012,tud,Clements2012,tudu,Clements2012,tudə,Clements2012,tudu,BaxterSilva2004,tudu,FernandesBaxter2001,tudu,Maurer2011,tudu,Quint1998,tud,Baptista2014,tudu,Swolkien2015,tudu,Tavares2020,tudu,Baptista2019,tudu,AraujoHagemeijer2013,tudu,HagemeijerMaurer-CecchiniSegorbe2020,tudu,Bandeira2017,tudu,Bandeira2017,tudu,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,tudu,Biagui2012,tuɾ,Quint2000,too,Schwegler2000,todu,Diccionario2008,todu,Sippola2011,todu,DeCastro2019,tut,Tobler 1983,tut,Barthèlemi 2007,tu,Valdman et al. 1999,tu,Wittmann 1973,tut,Barbotin & Tourenux 2000,tut,Confiant 2007,tut,Frank 2001,tu,Wittmann 1973,tu,Baker 1982,tu,Baker 1982
and,conj,e,"y, e",et,ani,Clements2011,ku,Clements2011,ku,Clements2012,kum,Clements2012,kum,Clements2012,ku,BaxterSilva2004,e,FernandesBaxter2001,dan,Maurer2011,ku,Quint1998,i,Baptista2019,i,Baptista2019,ku,Baptista2019,ku,Baptista2019,i,AraujoHagemeijer2013,a,HagemeijerMaurer-CecchiniSegorbe2020,i,Araujo2012,ki,Cosme2014,ɛ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,i,Biagui2012,i,JacobsHoyer2018,i,Schwegler2000,i,Diccionario2008,i,Sippola2011,i,DeCastro2019,ke,Tobler 1983,ke,Barthèlemi 2007,e,Valdman et al. 1999,e,Wittmann 1973,ɛk,Barbotin & Tourenux 2000,ɛk,Confiant 2007,avɛk,Mondesir 1992,ek,Wittmann 1973,,,e,"Michaelis, Rosalie & Muhme 2009"
animal,animal,animal,animal,animal,animal,Clements2011,animal,Clements2011,animal,Clements2012,animaːl,Clements2012,animal,Clements2012,animal,BaxterSilva2004,bitʃu,FernandesBaxter2001,animal,Maurer2011,bitʃu,Quint1998,bitʃ,Baptista2014,ɐnimal,Baptista2019,limaɾjɐ,Baptista2019,limaɾjɐ,Baptista2019,bisu,AraujoHagemeijer2013,limaja,Bandeira2017,nimalɪ,Araujo2012,biθu,Cosme2014,limaɾia,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,limariɟa,Biagui2012,animal,JacobsHoyer2018,anima,Estrada2005,animal,Diccionario2008,animal,Sippola2011,animal,DeCastro2019,bɛt,Tobler 1987,bɛt,Barthèlemi 2007,betaj,Valdman et al. 1999,bɛt,Wittmann 1973,bɛt,Barbotin & Tourenux 2000,bet,Confiant 2007,zãnimo,Mondesir 1992,zanimo,Wittmann 1973,,,zãnimo,"Michaelis, Rosalie & Muhme 2009"
ashes,environment,cinza,ceniza,cendre,sints,Clements2011,sĩz,Clements2011,sĩz,Clements2012,siːnza,Clements2012,sinzə,Clements2012,sinza,BaxterSilva2004,,,sindʒa,Maurer2011,sĩsɐ,Quint1998,sĩz,Baptista2014,sĩzɐ,Baptista2019,sĩza,Baptista2019,sĩza,Baptista2019,ʃĩdʒa,AraujoHagemeijer2013,ʃĩzɐ,Cosme2014,ʃize,Araujo2012,xĩdʒa,Cosme2014,sĩsa,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,sĩsa,Biagui2012,ʃiniʃa,Quint2000,sinisa,Hancock1975,sinisa,Diccionario2008,sinisa,Sippola2011,sinisa,DeCastro2019,sãn,Tobler 1987,san,Barthèlemi 2007,lasãn,Valdman et al. 1999,sã,Wittmann 1973,sãn,Barbotin & Tourenux 2000,sãn,Confiant 2007,sãn,Frank 2001,lasan,Wittmann 1973,sã,Baker 1982,lasã,Baker 1982
at,location,"em, no, na","en, a",a,nə,Clements2012,nə,Clements2012,pɛɾtdə,Clements2012,ntu,Clements2012,,,na,BaxterSilva2004,na,FernandesBaxter2001,,,nɐ,Quint1998,nɐ,Baptista2014,nɐ,Swolkien2015,nɐ,Baptista2019,nɐ,Baptista2019,ni,AraujoHagemeijer2013,ɛ̃,Cosme2014,na,Cosme2014,ni,Cosme2014,,,,,na,JacobsHoyer2018,en,Estrada2005,na,Diccionario2008,na,Sippola2011,na,DeCastro2019,la,Tobler 1983,la,Barthèlemi 2007,a,Valdman et al. 1999,a,Wittmann 1973,a,Barbotin & Tourenux 2000,pakote,Confiant 2007,a,Mondesir 1992,a,Wittmann 1973,,,kot,"Michaelis, Rosalie & Muhme 2009"
back,body part,costas,espalda,dos,kɔs,Clements2012,kɔs,Clements2011,kɔs,Clements2012,kɔːsta,Clements2012,kɔstə,Clements2012,kosta,BaxterSilva2004,kosta,FernandesBaxter2001,kosta,Maurer2011,kɔstɐ,Quint1998,kɔʃtɐ,Baptista2019,kɔʃtɐ,Baptista2019,kostɐ,Baptista2019,kostɐ,Baptista2019,ˈtlaʃi,AraujoHagemeijer2013,lomba,HagemeijerMaurer-CecchiniSegorbe2020,taːʃi,Cosme2014,nθusi,Cosme2014,kosta,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,ˈkosta,Biagui2012,lomba,JacobsHoyer2018,lomo,Mercado2026,ispalda,Diccionario2008,tɾas,Sippola2011,atɾas,DeCastro2019,do,Tobler 1983,do,Barthèlemi 2007,lanvɛɾ,Valdman et al. 1999,dɔ,Wittmann 1973,do,Barbotin & Tourenux 2000,do,Confiant 2007,do,Mondesir 1992,ledo,Wittmann 1973,,,ledo,"Michaelis, Rosalie & Muhme 2009"
bad,adjective,mau,malo,mauvais,maw,Clements2011,maw,Clements2011,mal,Clements2012,maːl,Clements2012,mizəɾal,Clements2012,mal,BaxterSilva2004,maw,FernandesBaxter2001,mal,Maurer2011,mɔw,Quint1998,mal,Baptista2014,maw,Baptista2019,maw,Baptista2019,maw,Baptista2019,ma,AraujoHagemeijer2013,maw,HagemeijerMaurer-CecchiniSegorbe2020,rwĩ,Araujo2012,buːku,Cosme2014,maw,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,fedi,Biagui2012,malu,JacobsHoyer2018,malo,Dieck2000,malu,Diccionario2008,malu,Sippola2011,mal,DeCastro2019,mal,Tobler 1983,mal,Barthèlemi 2007,move,Valdman et al. 1999,move,Wittmann 1973,move,Barbotin & Tourenux 2000,move,Confiant 2007,move,Mondesir 1992,move,Wittmann 1973,,,movɛ,"Michaelis, Rosalie & Muhme 2009"
bark,environment,casca,corteza,écorce,albsukas,Clements2011,kas,Clements2011,kask,Clements2012,paːʈa,Clements2012,ælvəɾisəpæli,Clements2012,kaska,BaxterSilva2004,,,kaski,Maurer2011,kaskɐ,Quint1998,kaʃkɐ,Baptista2014,ɾõ,Baptista2019,ɾamu,Tavares2020,kaskɐ di po,Baptista2019,kaʃika,AraujoHagemeijer2013,xɔxa,Cosme2014,ukpaka,Araujo2012,kaʃka,Cosme2014,kaʃkɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,,,kaska,Quint2000,,,,,,,,,lapo,Tobler 1987,lapo,Barthèlemi 2007,lekɔrʃ,Valdman et al. 1999,ekɔs,Wittmann 1973,lapo pjebwa,Barbotin & Tourenux 2000,lapo pjebwa,Confiant 2007,lapo,Frank 2001,lekoɣs,Wittmann 1973,po,Baker 1982,lekɔɔs,Baker 1982
because,conj,porque,porque,parce que,kaɾən,Clements2011,puɾke,Clements2011,pəɾke,Clements2012,kiːpaseː,Clements2012,swidə,Clements2012,kawzu,BaxterSilva2004,pɾamoɾdi,FernandesBaxter2001,aka bida,Maurer2011,pɐmɔdi,Quint1998,pke,Baptista2014,puɾke,Baptista2019,pɐmɔdi,Baptista2019,pɐmɔdi,Baptista2019,pluke,Bandeira2017,pɔke,Bandeira2017,poke,Araujo2012,kõtuma,Bandeira2017,pɐbiɐ,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,pabiɟa,Biagui2012,komo,JacobsHoyer2018,pokke,Schwegler2000,puɾkasa,Diccionario2008,kasi,Sippola2011,kaj,DeCastro2019,pase,Tobler 1983,paske,Barthèlemi 2007,paɾske,Valdman et al. 1999,paskɛ,Wittmann 1973,padavɣe,Barbotin & Tourenux 2000,pas,Confiant 2007,pas,Mondesir 1992,akoz,Wittmann 1973,pask,Stein 1984,akoz,"Michaelis, Rosalie & Muhme 2009"
belly,body part,barriga,"barriga, vientre",ventre,bʰaɾig,Clements2011,baɾig,Clements2011,baɾig,Clements2012,baɾiːja,Clements2012,baʀigə,Clements2012,bariga,BaxterSilva2004,bariga,FernandesBaxter2001,baɾiga,Maurer2011,bɐɾigɐ,Quint1998,beɾig,Baptista2019,beʀigɐ,Baptista2019,bɐɾigɐ,Tavares2020,baɾigɐ,Baptista2019,bɛgɐ,Bandeira2017,bɛga,Bandeira2017,bwɛgɐ,Araujo2012,bɛgɐ,Bandeira2017,bariga,SilvaAfonsoMachadoCunhaMarquesFernandesGianfranchiJúniorBorgesMartinsZardoLimaMendesTrigo2024,bariga,Biagui2012,baɾika,Quint2000,baɾika,Dieck2000,bariga,Diccionario2008,bahɾiga,Sippola2011,bahɾiga,DeCastro2019,vã,Tobler 1983,vãt,Barthèlemi 2007,vãnt,Valdman et al. 1999,vãt,Wittmann 1973,budɛ̃,Barbotin & Tourenux 2000,budɛ̃,Confiant 2007,budɛ̃,Frank 2001,vãt,Wittmann 1973,vãt,Baker 1982,vãt,Baker 1982
