Gloss,Portuguese_KOR,Korlai,Portuguese_DAM,Daman,Portuguese_DIU,Diu,Portuguese_SRL,Sri Lanka PT,Portuguese_KAN,Kannur,Portuguese_MAL,Malacca,Portuguese_MAC,Macau,Portuguese_TB,Tugu/Batavia,Portuguese_STG,Santiago CV,Portuguese_SAT,SantoAntão CV,Portuguese_SVC,SãoVicente CV,Portuguese_FOG,Fogo CV,Portuguese_BRV,Brava CV,Portuguese_STM,Santome,Portuguese_FDB,Fá d'Ambô,Portuguese_PRC,Principense,Portuguese_ANG,Angolar,Portuguese_GUI,Guinea Bissau,Portuguese_CAS,Casamancese,Iberian_PAP,Papiamento,Spanish_PAL,Palenquero,Spanish_CAV,CaviteChabacano,Spanish_TER,TernateChabacano,Spanish_ZAM,ZamboangaChabacano,French_KAR,Karipuna,French_LOU,Louisiana,French_GUY,Guianese,French_HAI,Haitian,French_GUA,Guadeloupean,French_MAR,Martinican,French_SLU,SaintLucian,French_MAU,Mauritian,French_REU,Réunionese,French_SEY,Seychellois
all,todu,tud,todu,tud,todu,tud,todu,tudu,todu,tudə,todu,tudu,todu,tudu,todu,tudu,tudu,tudu,todu,tud,todu,tudu,todu,tudu,todu,tudu,tudu,tudu,tudu,tudu,tudu,tudu,tudu,tudu,todu,tudu,todu,tudu,tudu,tuɾ,toðo,too,toðu,todu,toðu,todu,toðu,todu,tu,tut,tu,tu,tu,tut,tu,tu,tu,tut,tu,tut,tu,tut,tu,tu,tu,tu,tu,tu
and,i,ani,i,ku,i,ku,i,kum,i,kum,i,ku,i,e,,dan,kõ,ku,i,i,i,i,kõ,ku,kõ,ku,kõ,i,,a,i,i,i,ki,i,ɛ,i,i,i,i,i,i,i,i,i,i,i,i,e,ke,e,e,e,ke,e,e,avɛk,ɛk,avɛk,ɛk,avɛk,avɛk,avɛk,ek,e,,e,e
animal,ɐnimal,animal,ɐnimal,animal,ɐnimal,animal,ɐnimal,animaal,ɐnimal,animal,ɐnimal,animal,bitʃu,bitʃu,bitʃu,animal,bitʃu,bitʃu,bitʃu,bitʃ,ɐnimaɫ,ɐnimal,ɐlimaɾjɐ,limaɾjɐ,ɐlimaɾjɐ,limaɾjɐ,bitʃu,bisu,ɐlimaɾjɐ,limaja,ɐnimal,nimalɪ,ɐnimal,biθu,ɐlimaɾjɐ,limaɾia,ɐlimaɾjɐ,limariɟa,animal,animal,animal,,animal,animal,animal,animal,animal,animal,bɛt,bɛt,bɛt,betaj,bɛt,bɛt,bɛt,bɛt,bɛt,bɛt,bɛt,bet,dezanimo,zãnimo,dezanimo,zanimo,dezanimo,,dezanimo,zãnimo
ashes,sĩzɐ,sints,sĩzɐ,sĩz,sĩzɐ,sĩz,sĩzɐ,siinza,sĩzɐ,sinzə,sĩzɐ,sinza,sĩzɐ,,sĩzɐ,sindʒa,sĩzɐ,sĩsɐ,sĩzɐ,sĩz,sĩzɐ,sĩzɐ,sĩzɐ,sĩza,sĩzɐ,sĩza,sĩzɐ,ʃĩdʒa,sĩzɐ,ʃĩzɐ,sĩzɐ,ʃize,sĩzɐ,xĩdʒa,sĩzɐ,sĩsa,sĩzɐ,sĩsa,senisa,ʃiniʃa,senisa,,senisa,sinisa,senisa,sinisa,senisa,sinisa,sɑ̃dʀ,san,lasɑ̃dʀ,lasãn,sɑ̃dʀ,san,sɑ̃dʀ,sã,sɑ̃dʀ,sãn,sɑ̃dʀ,sãn,sɑ̃dʀ,sãn,lasɑ̃dʀ,lasan,sɑ̃dʀ,sã,lasɑ̃dʀ,lasã
at,nɐ,nə,nɐ,nə,pɛɾtudi,pɛɾtdə,dẽtɾu,ntu,dẽtɾu,,nɐ,na,nɐ,na,nɐ,,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,nɐ,ni,nɐ,ɛ̃,nɐ,na,nɐ,ni,nɐ,,nɐ,,nɐ,na,en,,en,na,en,na,en,na,la,la,la,a,la,la,la,a,a,a,paʀkote,pakote,a,a,la,a,la,,kote,kot
back,kɔstɐs,kɔs,kɔstɐs,kɔs,kɔstɐs,kɔs,kɔstɐs,kɔɔsta,kɔstɐs,kɔstə,kɔstɐs,kosta,kɔstɐs,kosta,kɔstɐs,kosta,kɔstɐs,kɔstɐ,kɔʃtɐʃ,kɔʃtɐ,kɔʃtɐʃ,kɔʃtɐ,kɔstɐs,kostɐ,kɔstɐs,kostɐ,ɐtɾaʃ,tlaʃi,lõbɐ,lɔ̃ba,ɐtɾaʃ,taːʃi,ɐtɾaʃ,nθusi,kɔstɐs,kosta,kɔstɐs,kosta,lõbɐ,lomba,espalda,,espalda,ispalda,tɾas,tɾas,atɾas,atɾas,do,do,lɑ̃vɛʀ,lanvɛɾ,do,do,do,dɔ,do,do,do,do,do,do,lədo,ledo,lədo,,lədo,ledo
bad,maw,maw,maw,maw,maw,mal,maw,maal,maw,mizəɾal,maw,mal,maw,maw,maw,mal,maw,mɔw,mal,mal,maw,maw,maw,maw,maw,maw,maw,ma,maw,maw,rwĩ,rwĩ,,buuku,maw,maw,maw,fedi,malu,malu,malo,malo,malu,malu,malu,malu,malu,mal,mal,mal,movɛ,move,mal,mal,movɛ,move,movɛ,move,movɛ,move,movɛ,move,movɛ,move,movɛ,,movɛ,movɛ
bark,aɾβorisuɐkaskɐ,albsukas,kaskɐ,kas,kaskɐ,kask,,paaʈa,aɾβorisuɐpɛli,ælvəɾisəpæli,kaskɐ,kaska,kaskɐ,,kaskɐ,kaski,kaskɐ,kaskɐ,kaʃkɐ,kaʃkɐ,ʀɐmu,ʀom,rɐmu,ɾamu,kaskɐdipaw,kaskɐdipo,kaskɐ,kaʃika,kaskɐ,xɔxa,,ukpaka,kaskɐ,kaʃka,kaʃkɐ,kaʃkɐ,kaʃkɐ,,kaska,kaska,koɾtesa,,koɾtesa,,koɾtesa,,koɾtesa,,lapo,lapo,lekɔʀs,lekɔrʃ,lapo,lapo,ekɔʀs,ekɔs,lapopjebwa,lapopjebwa,lapopjebwa,lapopjebwa,lapo,lapo,lekɔʀs,lekoɣs,po,po,lekɔʀs,lekɔɔs
because,,kaɾən,puɾke,puɾke,puɾke,pəɾke,,kiipasee,,swidə,kawzɐ,kawzu,pɾɐmɔdu,pɾamoɾdi,,akabida,pɾɐmɔdu,pɐmɔdi,puɾke,pke,puɾkɨ,puɾke,pɾɐmɔdu,pɐmɔdi,pɾɐmɔdu,pɐmɔdi,puɾke,pluke,puɾke,pɔke,puɾke,poke,,kõtuma,,pɐbiɐ,,pabiɟa,komo,komo,poɾke,pokke,poɾke,puɾkasa,kawsa,kasi,kawsa,kaj,paʀskə,pase,paʀskə,paɾske,paʀskə,paske,paʀskə,paskɛ,,padavɣe,paʀskə,pas,paʀskə,pas,lakoz,akoz,paʀskə,pask,akoz,akoz
belly,bɐrigɐ,bʰaɾig,bɐrigɐ,baɾig,bɐrigɐ,baɾig,bɐrigɐ,baɾiija,bɐrigɐ,baʀigə,bɐrigɐ,bariga,bɐrigɐ,bariga,bɐrigɐ,baɾiga,bɐrigɐ,bɐɾigɐ,bɐʀigɐ,beʀig,bɐʀigɐ,beʀigɐ,bɐrigɐ,bɐɾigɐ,bɐrigɐ,baɾigɐ,bɐrigɐ,bɛgɐ,bɐrigɐ,bɛga,bɐrigɐ,bwɛgɐ,bɐrigɐ,bɛgɐ,bɐrigɐ,bariga,bɐrigɐ,bariga,bariga,baɾika,bariga,baɾika,bariga,bariga,bariga,bahɾiga,bariga,bahɾiga,vɑ̃tʀ,van,vɑ̃tʀ,vãnt,vɑ̃tʀ,vãt,vɑ̃tʀ,vãt,budɛ̃,budɛ̃,budɛ̃,budɛ̃,budɛ̃,budɛ̃,vɑ̃tʀ,vãt,vɑ̃tʀ,vãt,vɑ̃tʀ,vãt
big,gɾɐ̃di,gɾan,gɾɐ̃di,gɾan,gɾɐ̃di,gɾan,gɾɐ̃di,gɾaandi,gɾɐ̃di,gɾandi,gɾɐ̃di,grandi,gɾɐ̃di,gɾa̜ndi,gɾɐ̃di,gɾandi,gɾɐ̃di,gɾɐ̃di,gɾɐ̃dɨ,gɾãŋd,gɾɐ̃dɨ,gɾãd,gɾɐ̃di,gɾãdi,gɾɐ̃di,gɾãdi,gɾɐ̃di,godo,gɾɐ̃di,ŋaandʒi,gɾɐ̃di,gani,gɾɐ̃di,ŋaj,gɾɐ̃dɨ,gaɾandɪ,gɾɐ̃dɨ,gaɾandi,gɾandi,gɾandi,gɾande,ngande,gɾandi,gɾandi,gɾandi,gɾandi,gɾandi,gɾandi,ɡʀo,gho,ɡʀɑ̃,gɾã,ɡʀɑ̃,gʁã,ɡʀɑ̃,gɣã,ɡʀɑ̃,gɣã,ɡʀɑ̃,gɣã,ɡʀɑ̃,gwo,ɡʀɑ̃,gɣã,ɡʀo,gʀo,ɡʀɑ̃,gɣã
bird,pasɐɾu,pas,pasɐɾu,pasaɾiɲ,pasɐɾiɲu,pasaɾiŋ,pasɐɾu,paastɾu,pasɐɾu,pastɾə,pasɐɾu,pastu,pasɐɾu,pastɾu,pasɐɾu,pastəɾ,pasɐɾu,pasu,pasɐɾu,pɔs,pasɐɾu,pɔs,pasɐɾu,pasu,pasɐɾu,pasu,bitʃudazɐ,bisudaza,pasɐɾu,paatu,pasɐɾu,pasu,,situ,pasɐɾu,pastru,pasɐɾu,pastur,paxaɾu,paɾa,paxaɾo,pahaɾo,paxaɾu,paharu,paxaɾu,paharu,paxaɾu,paharu,dezwazo,zozo,wazo,zwazo,dezwazo,zozo,lezwɛzo,zwezo,lezwɛzo,zwezo,lezwɛzo,zwezo,ʒibje,ʒibje,lezwazo,zozo,lezwazo,zwazo,lezwazo,zozo
bite,muɾdeɾ,muɾde,muɾdeɾ,muɾde,muɾdeɾ,muɾde,muɾdeɾ,muɾda,muɾdeɾ,muɾdɛ,muɾdeɾ,mudre,,katʃi,moɾdeɾ,moɾdi,moɾdeɾ,moɾdi,muɾdeɾ,moɾde,muɾdeɾ,moɾde,moɾdeɾ,moɾde,moɾdeɾ,moɾde,moɾdeɾ,mode,moɾdeɾ,mũda,moɾdeɾ,mode,moɾdeɾ,mode,muɾdeɾ,murdɪ,muɾdeɾ,moɾde,moɾdeɾ,moɾde,moɾðeɾ,,moɾðeɾ,muldi,moɾðeɾ,moɾde,moɾðeɾ,muɻde,mɔʀdʀ,mɔde,mɔʀdʀ,mɔɾd,mɔʀdʀ,mode,mɔʀdʀ,mɔde,mɔʀdʀ,mɔd,mɔʀdʀ,mode,mɔʀdʀ,mɔde,mɔʀdʀ,moɣde,mɔʀdʀ,mɔɔde,mɔʀdʀ,mɔɔd
