Language,Similarity,Cognates,Words,Cognacy
Korlai,"65,11%",180,199,"90,45%"
Daman,"67,56%",201,202,"99,50%"
Diu,"67,83%",181,181,"100,00%"
Sri Lanka PT,"64,75%",195,201,"97,01%"
Kannur,"73,16%",160,177,"90,40%"
Malacca,"77,21%",194,198,"97,98%"
Macau,"80,32%",153,162,"94,44%"
Tugu/Batavia,"75,92%",174,181,"96,13%"
Santiago CV,"80,89%",205,207,"99,03%"
Santo Antão CV,"67,21%",199,201,"99,00%"
São Vicente CV,"70,69%",201,201,"100,00%"
Fogo CV,"80,67%",202,203,"99,51%"
Brava CV,"81,70%",197,198,"99,49%"
Santome,"71,81%",188,200,"94,00%"
Fá d'Ambô,"67,84%",174,192,"90,62%"
Principense,"69,49%",178,193,"92,23%"
Angolar,"68,44%",144,183,"78,69%"
Guinea Bissau,"81,23%",185,195,"94,87%"
Casamancese,"73,65%",148,166,"89,16%"
Papiamentu,"78,04%",190,207,"91,79%"
Palenquero,"78,89%",148,161,"91,93%"
Cavite Chabacano,"89,12%",189,197,"95,94%"
Ternate Chabacano,"85,13%",179,200,"89,50%"
Zamboanga Chabacano,"89,90%",168,187,"89,84%"
Karipuna,"79,09%",203,204,"99,51%"
Guianese,"80,65%",190,191,"99,48%"
Louisiana,"85,00%",207,207,"100,00%"
Haitian,"80,45%",197,197,"100,00%"
Guadeloupean,"78,46%",204,206,"99,03%"
Martinican,"79,09%",205,206,"99,51%"
Saint Lucian,"80,18%",207,207,"100,00%"
Mauritian,"83,34%",206,207,"99,52%"
Réunionese,"78,71%",142,144,"98,61%"
Seychellois,"79,97%",203,203,"100,00%"
Global Average,"76,81%",,,"95,80%"
PBC Average,"73,18%",,,"94,72%"
SBC Average,"84,22%",,,"91,80%"
FBC Average,"80,49%",,,"99,57%"
